"matchId","summonerId","Win","FirstBlood","FirstTower","FirstTowerAssist","Kills","Assists","Deaths","GoldEarned","TotalDamageDealt","MagicDamageDealt","PhysicalDamageDealt","TotalDamageDealtToChampions","TotalDamageTaken","MinionsKilled","NeutralMinionsKilled","CrowdControl","WardsPlaced","TowerKills","LargestMultiKill","LargestKillingSpree","LargestCritStrike","TotalHealAmount"
456170465,4502424,1,0,0,0,4,10,5,13326,200467,7458,178996,19101,33066,86,81,1828,9,1,1,2,0,6029
456170465,3328571,1,0,0,0,4,17,2,10495,33850,22651,10785,11570,18968,32,1,889,17,0,1,2,0,1543
456170465,3789017,1,1,0,0,10,11,7,14402,173639,0,172786,26288,27506,198,17,4760,5,2,1,5,0,285
456170465,1433180,1,0,0,0,12,7,2,15758,225416,201051,23150,25819,16557,272,10,3255,6,0,2,6,0,297
456170465,7802817,0,0,0,0,3,6,8,9680,107747,6287,86264,10535,26237,39,52,171,7,0,1,2,911,4708
456170465,3242302,0,0,0,0,6,4,11,9234,87313,67522,18577,18874,30683,88,5,171,7,0,2,2,0,195
456170465,2902641,0,0,0,0,4,7,7,11743,128199,58894,64284,16385,21624,205,11,0,6,1,1,2,598,1949
456170465,814745,0,0,1,0,5,3,5,11982,155035,132366,20586,24749,24166,247,1,460,16,1,1,3,0,670
456170465,2092912,0,0,0,0,2,7,5,7852,37108,22017,12014,11359,26433,54,0,240,17,0,1,2,0,2409
456159620,2644829,0,0,0,0,1,16,7,9586,41755,26820,11409,7912,41901,43,1,302,22,0,1,0,0,12535
456159620,2857822,0,0,0,0,6,10,12,14793,209108,22023,187084,26621,30675,214,22,49,8,0,1,2,1396,3619
456159620,2647535,0,0,0,0,9,10,16,15229,217581,12033,184766,28321,43096,124,48,231,8,1,2,5,789,2567
456159620,2933711,0,0,0,0,6,12,9,13886,145085,93445,50633,40686,53357,179,0,1027,6,1,2,2,236,5011
456159620,3955106,0,0,0,0,9,11,18,12321,86388,65038,19357,27605,41996,84,2,150,13,0,2,2,0,8098
456159620,6470604,1,1,0,0,9,12,5,14330,165399,7911,155547,28494,31179,127,22,274,14,1,1,4,544,1838
456159620,3997030,1,0,0,0,26,16,11,19208,184052,94180,87885,60535,45376,167,8,790,5,3,4,6,0,1865
456159620,5751967,1,0,0,0,10,20,5,15170,116092,11124,95744,20436,38162,57,42,385,6,2,1,4,578,2833
456159620,9713369,1,0,0,0,1,38,2,14670,38699,33201,5453,12840,13838,28,0,205,47,0,1,0,354,45265
456159620,5152938,1,0,0,0,15,19,8,18679,236465,59194,176046,51204,32406,233,9,317,13,2,3,4,903,1356
456188065,6657953,0,0,0,0,4,2,6,10833,101212,6503,90544,15821,30179,184,0,1208,3,0,2,2,375,6605
456188065,2584130,0,0,0,0,12,7,7,12903,132677,86032,15753,30285,18139,152,12,50,12,1,2,4,0,3339
456188065,526177,0,0,0,0,6,7,6,12311,179667,16496,162410,18428,23482,196,7,268,3,0,1,3,766,2371
456188065,5874781,0,0,0,0,3,13,6,10495,96410,15592,73219,8683,28983,70,19,647,9,2,1,0,0,885
456188065,1201517,0,0,0,0,2,14,5,10566,61975,54471,7503,15040,17507,44,1,168,22,0,1,0,0,160
456188065,4046098,1,0,0,0,1,21,4,10594,35313,12541,14844,8624,27516,38,2,778,17,1,1,0,0,6324
456188065,5711295,1,1,0,0,7,11,3,15007,192664,7350,184588,28661,27229,219,17,139,10,4,2,4,0,1741
456188065,767723,1,0,0,0,15,3,6,14390,97851,69417,27149,19390,18905,99,19,240,8,1,2,8,0,262
456188065,528628,1,0,0,0,4,13,8,15050,209296,444,208094,20260,24263,247,20,96,12,2,1,2,865,2548
456188065,6575347,1,0,0,0,3,14,7,12233,103628,60858,35428,13448,23046,59,37,165,11,1,1,0,0,1066
456186682,2865037,0,0,0,0,0,3,3,4295,10579,7084,3495,2245,8906,15,1,79,14,0,0,0,0,879
456186682,1090559,0,0,0,0,0,0,2,4669,53404,708,52696,3866,9500,81,6,36,2,0,0,0,408,1280
456186682,1937052,0,0,0,0,0,2,4,5601,50472,32027,18444,7631,11098,119,0,203,3,0,0,0,0,5264
456186682,443836,0,0,0,0,1,2,5,6146,64099,56328,7319,9184,10589,128,5,197,2,0,1,0,0,369
456186682,2161914,0,0,0,0,6,0,4,6165,48808,3872,40925,6494,15789,10,36,200,2,0,1,4,0,1609
456186682,3072513,1,1,0,0,4,6,3,9094,90597,4280,85709,13015,11322,156,4,97,8,0,1,2,0,69
456186682,5273595,1,0,1,0,6,1,1,9890,118225,2085,116140,10010,8585,166,16,0,1,2,3,6,537,974
456186682,980350,1,0,0,1,3,5,0,6247,27533,11639,13103,5930,8514,33,0,339,13,1,1,3,0,1618
456186682,4018054,1,0,0,0,3,2,3,7697,63083,11377,51706,8565,12319,115,3,41,4,3,1,0,0,591
456186682,2653961,1,0,0,0,2,6,0,7154,63212,40491,10858,4934,12609,19,44,240,2,0,1,2,0,1632
456190237,4811222,0,0,0,0,1,2,5,6347,58527,15922,42318,4624,18381,79,0,32,0,1,1,0,0,135
456190237,2590297,0,0,0,0,2,7,5,6800,29194,16971,12223,8427,10220,24,0,150,5,2,1,0,0,3979
456190237,5464897,0,0,0,0,5,3,4,8404,82147,4689,77457,9059,10772,118,6,79,3,0,2,4,659,247
456190237,7545039,0,0,0,0,2,5,7,6968,71454,41332,19335,7112,18050,14,41,597,5,0,1,0,0,853
456190237,543202,0,0,0,0,2,2,6,6048,45728,32525,13156,7855,12690,57,7,30,0,0,1,0,0,316
456190237,6462975,1,0,0,0,13,4,1,10972,88871,69172,19100,23084,8617,130,0,80,7,0,4,9,0,302
456190237,3810507,1,0,0,0,1,9,3,8720,98657,32559,58969,5018,23310,50,51,240,1,1,1,0,0,11781
456190237,3912450,1,1,1,0,8,6,2,11697,151890,10123,141426,12699,8659,199,12,187,6,2,3,4,617,1061
456190237,2372201,1,0,0,0,4,2,2,7949,44528,22712,21504,7402,5892,99,0,730,4,2,2,3,0,112
456190237,2528430,1,0,0,1,1,11,4,7391,29764,17147,9574,5550,13952,25,3,489,6,0,1,0,0,1489
456161512,816191,0,0,0,0,15,25,12,21351,222252,12659,205932,44240,52624,233,28,7204,6,3,5,6,0,7023
456161512,2115401,0,0,0,0,16,15,9,16604,134769,110985,22257,39860,34168,128,8,1222,9,0,2,8,634,6297
456161512,4655307,0,0,0,0,1,19,13,12254,89060,43405,15427,8431,40129,68,31,5861,7,0,1,0,0,728
456161512,4490651,0,0,0,0,12,13,12,15956,183773,58860,124433,28348,24306,165,11,1532,11,1,1,5,1099,5182
456161512,3202340,0,0,0,0,7,22,10,13099,64978,44635,18333,20656,36467,55,0,2175,15,1,1,3,0,5290
456161512,3439305,1,0,1,0,8,14,12,17158,238058,213326,23158,41577,24179,282,0,264,17,1,2,2,0,875
456161512,4725510,1,1,0,0,28,15,10,19756,142041,75666,65640,38966,46373,108,16,451,13,2,3,6,0,4839
456161512,3973540,1,0,0,1,5,21,16,15710,165826,76338,81256,19644,58178,118,43,1345,9,2,1,0,0,19985
456161512,9826728,1,0,0,0,12,21,3,18320,205233,10730,193842,34131,16285,174,5,262,17,2,2,4,1173,667
456161512,9497371,1,0,0,0,3,29,10,13366,75662,55787,19874,22699,29422,45,4,217,22,0,1,0,0,2782
456169781,671959,1,0,0,0,6,5,1,9951,108110,29050,79059,13410,9064,169,0,647,6,1,2,6,828,540
456169781,3319714,1,0,0,0,1,6,6,6001,25325,4714,17584,4373,13430,8,13,1672,3,1,1,0,0,1414
456169781,4083864,1,0,0,0,7,5,3,9220,107206,4724,101996,15136,14527,134,4,2388,2,1,1,3,0,74
456169781,9540413,1,0,0,0,3,5,2,7507,55133,1760,52634,8774,11898,83,1,25,5,1,2,3,526,0
456169781,7014733,1,0,0,0,1,9,2,5887,25717,18919,6797,8111,7622,10,0,226,4,1,1,0,389,9779
456169781,8111813,0,0,1,0,2,7,4,7391,53803,15540,30252,6145,20558,8,38,324,0,1,1,0,0,8045
456169781,4910670,0,1,0,1,3,0,3,7131,62796,33028,29767,11025,10233,105,0,37,6,0,1,2,0,580
456169781,7003675,0,0,0,0,5,2,4,8826,77016,1934,69342,7953,14164,123,11,235,2,2,1,2,444,632
456169781,6410955,0,0,0,0,1,6,4,5977,19880,14521,5359,5965,12213,14,0,46,7,0,1,0,0,829
456169781,1628015,0,0,0,0,3,1,3,8326,100095,85634,14391,12805,11316,158,0,53,2,1,2,2,0,1325
456163883,2600551,1,0,0,0,7,26,11,19145,169949,83263,67783,21447,53159,86,57,4949,0,0,1,2,0,2635
456163883,3619095,1,0,0,0,9,20,10,19325,221449,15596,205516,23500,39918,182,16,4656,10,3,2,3,727,4767
456163883,890953,1,0,0,0,16,22,8,23345,339189,98295,240573,45258,32512,222,28,1685,6,4,2,8,1131,1234
456163883,6523778,1,0,0,0,23,18,10,22831,237966,218310,18623,49421,36511,211,4,2601,8,0,3,4,0,4845
456163883,1659563,1,0,0,0,2,24,8,17453,167301,80149,87151,11558,24632,142,8,1123,20,0,1,0,908,6805
456163883,3649675,0,1,0,0,17,15,11,24533,434317,114679,297624,45881,33683,311,36,104,14,1,4,6,1562,4465
456163883,3967462,0,0,0,0,2,22,12,14064,38817,13491,18535,11138,53867,20,2,126,44,1,1,0,0,1551
456163883,8400447,0,0,1,0,10,15,10,20783,284356,229437,44069,32326,40544,270,13,1303,17,1,3,4,0,5133
456163883,3967428,0,0,0,0,11,10,12,18561,262125,239188,17489,36019,35226,203,32,314,16,1,2,3,0,4663
456163883,5690545,0,0,0,0,5,15,13,16089,131111,93899,33700,21601,27564,161,0,96,1,1,1,2,0,628
456191262,760160,1,0,0,0,0,21,2,10418,22317,15156,7010,10932,17036,14,1,151,27,0,0,0,0,8071
456191262,1431004,1,0,0,0,5,7,7,13044,156369,142599,13528,15568,23628,203,8,351,9,1,1,2,0,599
456191262,411168,1,0,0,0,5,9,7,14023,189803,167568,21535,20172,17264,220,42,1419,12,2,1,3,0,870
456191262,4068758,1,0,0,0,9,8,2,14092,197033,77594,111179,21408,16029,229,16,149,3,3,2,4,1320,2546
456191262,1914225,1,0,0,0,11,8,7,12926,135639,11023,110759,20045,26736,51,47,239,4,1,2,4,667,1077
456191262,2630793,0,0,0,0,5,5,4,11806,146290,1601,144336,13645,19044,177,14,129,6,0,2,5,728,2164
456191262,2068668,0,0,0,0,4,7,3,10889,111325,102415,8910,19402,21082,171,11,123,8,0,1,3,0,2698
456191262,1351754,0,1,0,0,15,3,5,13710,133362,119781,12550,31190,20515,167,15,97,6,0,2,9,0,697
456191262,1625593,0,0,0,0,1,2,7,12013,212073,28885,177695,6304,27301,163,73,341,7,0,1,0,672,2644
456191262,921707,0,0,0,0,0,7,11,8546,34595,24921,9673,9558,29776,41,0,122,24,1,0,0,0,1639
456189753,9352312,0,0,0,0,7,5,8,9822,104278,10771,93004,12474,21735,162,2,597,3,0,1,2,456,815
456189753,2256499,0,0,0,0,3,9,7,7322,19814,13751,6062,5060,17260,24,0,112,17,0,1,0,0,2560
456189753,3602429,0,0,0,0,3,8,7,8064,88130,5955,77061,8772,25209,67,31,498,0,1,1,0,426,8725
456189753,12010733,0,0,0,0,5,5,5,8346,55858,19393,35792,8435,15146,111,0,289,3,0,2,4,0,291
456189753,624418,0,0,0,0,2,8,7,8090,60281,12796,47484,7680,14104,114,4,0,1,0,2,2,608,514
456189753,4379342,1,0,0,1,4,6,5,11019,136244,5211,129586,12549,14312,181,9,236,13,1,1,2,561,0
456189753,3402949,1,1,0,1,13,12,3,14513,164301,496,162183,23170,9771,161,8,219,5,3,3,8,968,1717
456189753,1849664,1,0,0,0,13,8,4,14192,144852,26,144146,19464,18276,200,8,207,4,2,2,5,0,626
456189753,1481322,1,0,0,0,4,15,7,10936,86066,45119,32615,10056,24598,10,59,516,7,0,1,0,0,3161
456189753,1680675,1,0,1,0,0,19,1,9231,19355,11281,8073,7889,5522,3,1,119,17,2,0,0,0,2692
456161060,3429190,1,0,0,0,6,9,4,11581,117385,29071,87744,17657,11590,151,8,166,6,4,1,3,576,550
456161060,3397489,1,0,0,0,2,9,3,8116,31639,24268,7028,5830,5340,49,1,39,4,0,1,0,0,255
456161060,1498587,1,1,0,0,19,6,4,16085,179771,6972,172061,30979,17599,211,1,218,7,5,4,8,742,899
456161060,1511187,1,0,0,0,10,13,4,12357,119550,11728,99260,19110,18847,72,35,191,7,0,1,5,431,782
456161060,495574,1,0,0,0,2,22,1,11698,54900,36824,17219,15327,14912,39,3,278,13,1,1,2,0,1317
456161060,3140642,0,0,1,0,6,5,9,10225,106521,15360,82069,16744,28666,89,30,558,10,2,1,2,0,4057
456161060,7290236,0,0,0,0,2,4,5,9031,82513,1611,80901,12073,11334,185,0,32,4,0,1,0,892,776
456161060,9732478,0,0,0,0,4,4,9,8299,48303,31810,15838,9393,20774,109,3,69,4,0,1,2,0,560
456161060,4067905,0,0,0,0,2,6,10,6281,16721,5130,6417,4817,26163,27,0,251,11,1,1,0,151,3302
456161060,5873116,0,0,0,0,2,3,6,7462,50941,25647,25293,7983,19891,106,3,33,1,0,1,2,0,401
456187306,470431,0,0,0,0,9,6,7,11642,98383,22315,70774,17319,42107,95,28,611,0,1,1,4,0,12608
456187306,436184,0,1,0,0,10,8,12,12832,125057,10100,114956,21259,24448,175,6,28,3,0,2,3,699,2143
456187306,5918986,0,0,0,0,10,9,8,14013,187907,20270,166582,33032,42352,199,12,97,7,0,2,3,910,8520
456187306,3923541,0,0,0,0,0,0,1,5386,9858,5827,4000,392,1242,22,0,0,1,0,0,0,0,24
456187306,2572621,0,0,0,0,1,13,8,10909,98555,84885,13669,20793,20968,92,1,583,18,0,1,0,0,182
